creator_id,date,views,likes,comments,shares,orders,gmv,engagement_rate
CR0001,2026-02-27,10185,1064,82,57,180,27604.87,10.45
CR0001,2026-02-28,13514,467,65,15,213,16923.46,3.46
CR0001,2026-03-01,15789,1441,91,112,814,111941.85,9.13
CR0001,2026-03-02,15204,1107,127,72,359,11003.09,7.28
CR0001,2026-03-03,14405,1277,93,82,538,99995.24,8.87
CR0001,2026-03-04,11820,1245,178,27,1043,55838.15,10.54
CR0001,2026-03-05,14321,1553,122,34,487,91128.35,10.85
CR0001,2026-03-06,11251,797,90,41,515,57040.51,7.09
CR0001,2026-03-07,14051,1444,119,92,948,21363.33,10.28
CR0001,2026-03-08,14711,831,97,26,883,82108.64,5.66
CR0001,2026-03-09,12024,715,64,18,925,174314.93,5.95
CR0001,2026-03-10,8869,572,54,20,317,39028.38,6.45
CR0001,2026-03-11,10817,674,49,40,303,43478.46,6.24
CR0001,2026-03-12,15862,1743,221,107,1250,107697.38,10.99
CR0001,2026-03-13,10555,1226,119,57,730,106835.01,11.62
CR0001,2026-03-14,20608,2022,263,140,1540,195959.77,9.82
CR0001,2026-03-15,19407,1500,154,62,881,149046.99,7.73
CR0001,2026-03-16,15845,763,79,22,1041,148293.72,4.82
CR0001,2026-03-17,14452,1069,149,49,126,11941.83,7.4
CR0001,2026-03-18,13306,1068,125,41,115,2362.42,8.03
CR0001,2026-03-19,10668,390,36,24,286,51754.37,3.66
CR0001,2026-03-20,16623,1204,94,37,369,55819.41,7.25
CR0001,2026-03-21,21431,1365,189,64,1395,48050.77,6.37
CR0001,2026-03-22,21480,2335,147,167,586,53179.82,10.87
CR0001,2026-03-23,10055,1187,158,77,760,113572.06,11.81
CR0001,2026-03-24,12388,794,57,37,177,31424.13,6.41
CR0001,2026-03-25,15078,496,57,28,1582,100172.13,3.29
CR0001,2026-03-26,9649,805,76,48,510,14260.93,8.35
CR0001,2026-03-27,12582,988,123,65,372,23119.46,7.86
CR0001,2026-03-28,21265,1740,187,115,1054,187323.73,8.18
CR0001,2026-03-29,22019,1693,154,61,1177,179302.04,7.69
CR0001,2026-03-30,10581,963,101,21,412,36506.43,9.11
CR0001,2026-03-31,13363,1238,112,47,317,20089.64,9.27
CR0001,2026-04-01,11022,1181,76,56,141,13390.97,10.72
CR0001,2026-04-02,13463,874,65,34,198,17185.2,6.5
CR0001,2026-04-03,13535,1416,78,60,382,12644.65,10.46
CR0001,2026-04-04,20419,1692,198,55,707,52723.71,8.29
CR0001,2026-04-05,21544,1057,72,68,1683,310680.85,4.91
CR0001,2026-04-06,14899,1390,124,47,379,39387.61,9.33
CR0001,2026-04-07,14553,840,72,61,808,121227.83,5.78
CR0001,2026-04-08,15490,911,64,35,278,42652.27,5.88
CR0001,2026-04-09,9521,759,82,47,203,12464.88,7.98
CR0001,2026-04-10,14006,729,76,55,595,64231.32,5.21
CR0001,2026-04-11,19861,1917,184,122,440,52086.47,9.66
CR0001,2026-04-12,14221,1564,233,121,888,29640.97,11.0
CR0001,2026-04-13,16106,553,28,15,495,23356.74,3.44
CR0001,2026-04-14,11265,800,44,46,1199,166266.75,7.1
CR0001,2026-04-15,9634,750,68,15,604,43248.78,7.79
CR0001,2026-04-16,13625,1264,117,96,435,49759.38,9.28
CR0001,2026-04-17,11515,987,74,40,437,84198.36,8.58
CR0001,2026-04-18,17323,898,107,34,683,135576.49,5.19
CR0001,2026-04-19,19396,637,57,27,955,139919.08,3.29
CR0001,2026-04-20,10282,1090,124,43,1188,215102.15,10.61
CR0001,2026-04-21,17200,871,122,53,658,122617.42,5.07
CR0001,2026-04-22,15295,844,88,50,465,10610.58,5.52
CR0001,2026-04-23,11374,488,64,33,682,82871.51,4.3
CR0001,2026-04-24,14379,1530,180,80,657,106624.3,10.64
CR0001,2026-04-25,20055,743,92,30,247,8319.77,3.71
CR0001,2026-04-26,19183,1635,179,127,714,114981.61,8.52
CR0001,2026-04-27,13495,681,71,28,337,29795.21,5.05
CR0001,2026-04-28,16211,917,68,22,410,66051.1,5.66
CR0001,2026-04-29,11066,720,61,18,794,124691.64,6.51
CR0001,2026-04-30,10651,403,37,21,294,10622.63,3.79
CR0001,2026-05-01,14473,1211,155,86,143,22915.81,8.37
CR0001,2026-05-02,20721,1665,248,57,1141,57632.27,8.04
CR0001,2026-05-03,15757,853,55,25,369,59364.72,5.42
CR0001,2026-05-04,12924,1486,181,73,658,29207.38,11.5
CR0001,2026-05-05,9946,652,87,27,657,64064.67,6.56
CR0001,2026-05-06,16901,1497,163,56,1055,112063.95,8.86
CR0001,2026-05-07,11438,753,61,48,911,146448.16,6.58
CR0001,2026-05-08,12724,702,90,29,669,133470.64,5.52
CR0001,2026-05-09,14952,1481,78,94,806,131848.22,9.91
CR0001,2026-05-10,22228,805,108,54,811,60427.51,3.62
CR0001,2026-05-11,12170,533,49,22,553,69016.57,4.39
CR0001,2026-05-12,14613,1652,226,74,269,39353.13,11.31
CR0001,2026-05-13,17033,1421,200,37,543,27117.92,8.34
CR0001,2026-05-14,15344,1238,141,72,991,161851.7,8.07
CR0001,2026-05-15,10995,427,30,27,640,38262.86,3.89
CR0001,2026-05-16,17338,1242,146,76,533,56977.06,7.17
CR0001,2026-05-17,16484,1860,108,129,854,69816.21,11.28
CR0001,2026-05-18,16952,1303,110,33,977,31353.28,7.69
CR0001,2026-05-19,10545,990,51,40,242,45347.42,9.4
CR0001,2026-05-20,16634,1271,133,50,637,104210.68,7.64
CR0001,2026-05-21,15697,734,84,32,1337,134934.72,4.68
CR0001,2026-05-22,13974,424,30,15,1073,132968.97,3.04
CR0001,2026-05-23,22419,1755,151,55,471,50918.45,7.83
CR0001,2026-05-24,24362,1418,126,61,373,38200.76,5.82
CR0001,2026-05-25,11790,1068,138,80,709,54148.76,9.06
CR0001,2026-05-26,12394,502,43,14,505,62349.87,4.05
CR0001,2026-05-27,14047,1036,107,77,710,35525.41,7.38
CR0002,2026-02-27,845447,39599,5314,2263,86641,9290480.25,4.68
CR0002,2026-02-28,1030607,66530,7062,3937,39492,5837929.67,6.46
CR0002,2026-03-01,1221544,55033,5863,3728,16552,1000929.48,4.51
CR0002,2026-03-02,850987,85325,9092,5661,38426,4729799.84,10.03
CR0002,2026-03-03,840688,66313,9886,3482,66707,6633743.28,7.89
CR0002,2026-03-04,813557,55536,6864,3288,30565,788621.97,6.83
CR0002,2026-03-05,841405,90533,5314,6510,20108,1161801.43,10.76
CR0002,2026-03-06,1123333,103371,14069,5852,50116,8082351.44,9.2
CR0002,2026-03-07,1521874,155976,16690,8100,52669,10334712.66,10.25
CR0002,2026-03-08,1123990,91657,13312,4662,107928,4792651.11,8.15
CR0002,2026-03-09,1138118,76303,4267,2795,76453,3355090.53,6.7
CR0002,2026-03-10,781263,46085,3445,3254,18808,2517118.97,5.9
CR0002,2026-03-11,1070143,68238,3927,4618,61663,9555571.58,6.38
CR0002,2026-03-12,1112436,121209,11571,5973,77263,13327104.04,10.9
CR0002,2026-03-13,754543,88653,10060,5482,67953,6223737.55,11.75
CR0002,2026-03-14,1665766,173633,17271,6836,52078,2265755.73,10.42
CR0002,2026-03-15,1578870,159382,22220,10477,23499,4009079.61,10.09
CR0002,2026-03-16,713089,81041,5332,3840,52550,10469270.2,11.36
CR0002,2026-03-17,1254152,137195,11001,9941,53102,4507211.15,10.94
CR0002,2026-03-18,756183,67909,7802,1569,49869,7776661.04,8.98
CR0002,2026-03-19,968198,36992,2201,1213,16366,1857540.44,3.82
CR0002,2026-03-20,979886,30107,2539,819,82162,8708025.3,3.07
CR0002,2026-03-21,1105381,42048,5491,1101,31566,2805895.08,3.8
CR0002,2026-03-22,1571588,170839,19502,10357,24712,3209037.63,10.87
CR0002,2026-03-23,814230,50162,3576,3255,67603,6735225.81,6.16
CR0002,2026-03-24,848522,93925,6011,2572,44148,4295157.75,11.07
CR0002,2026-03-25,1202885,62911,7200,2194,76487,5452432.84,5.23
CR0002,2026-03-26,1297894,42070,5667,3052,35027,1889929.92,3.24
CR0002,2026-03-27,961553,84765,10882,5732,22789,1444702.18,8.82
CR0002,2026-03-28,1450632,52790,7331,1094,41781,3744868.0,3.64
CR0002,2026-03-29,1615471,109654,11473,3329,103250,3421553.36,6.79
CR0002,2026-03-30,1089039,34023,2435,2563,74721,5347617.88,3.12
CR0002,2026-03-31,1169240,115801,10695,5111,66532,3159104.35,9.9
CR0002,2026-04-01,779489,28928,4110,2269,13453,1689141.05,3.71
CR0002,2026-04-02,1205701,106687,12195,4119,71189,4481684.26,8.85
CR0002,2026-04-03,883436,100019,6161,5674,14269,1975534.84,11.32
CR0002,2026-04-04,1094699,34088,2172,704,41477,4691053.33,3.11
CR0002,2026-04-05,1625573,86695,7558,5634,142585,5881661.14,5.33
CR0002,2026-04-06,1301758,78302,7276,4027,54544,7251947.15,6.02
CR0002,2026-04-07,1049576,79736,4428,5706,14958,2381301.81,7.6
CR0002,2026-04-08,1303533,118192,7272,7617,18029,400457.5,9.07
CR0002,2026-04-09,768560,48233,6850,1482,31774,5228754.46,6.28
CR0002,2026-04-10,1194382,106315,7702,3709,72576,12242080.43,8.9
CR0002,2026-04-11,1437978,58591,6874,1356,37426,1057926.26,4.07
CR0002,2026-04-12,1299465,141549,19336,9400,24192,2472768.63,10.89
CR0002,2026-04-13,981162,55184,7088,3552,22985,4480567.05,5.62
CR0002,2026-04-14,1385771,138341,17050,7303,59247,11128456.19,9.98
CR0002,2026-04-15,763792,60140,6831,3705,6806,1065868.93,7.87
CR0002,2026-04-16,991837,95640,7723,3090,71906,13878815.14,9.64
CR0002,2026-04-17,1377903,58993,4600,1335,48579,4583439.56,4.28
CR0002,2026-04-18,1730275,123301,15386,6762,89293,8124165.74,7.13
CR0002,2026-04-19,1478429,52640,6119,1465,60750,11341268.74,3.56
CR0002,2026-04-20,1010610,105983,8756,4998,38445,1710807.59,10.49
CR0002,2026-04-21,1257527,50059,3031,2351,24965,2109336.3,3.98
CR0002,2026-04-22,1260150,89057,8579,6336,26907,2011532.26,7.07
CR0002,2026-04-23,1219868,102831,7352,7341,30114,5851511.59,8.43
CR0002,2026-04-24,1020813,35121,2805,2430,32864,5712691.11,3.44
CR0002,2026-04-25,1465556,116527,6930,3043,59716,1857194.66,7.95
CR0002,2026-04-26,1660253,83022,5796,3655,138526,4866016.15,5.0
CR0002,2026-04-27,1151617,129635,7453,10348,31465,5212924.85,11.26
CR0002,2026-04-28,828581,88040,11523,2408,34656,6457927.63,10.63
CR0002,2026-04-29,1055247,100458,10006,4316,35924,6591865.72,9.52
CR0002,2026-04-30,952776,66828,4334,3798,58140,6383800.48,7.01
CR0002,2026-05-01,1357110,99222,5831,4264,61014,9975522.34,7.31
CR0002,2026-05-02,1221165,145889,15225,3088,54490,5794640.91,11.95
CR0002,2026-05-03,1683541,102633,10937,4033,25622,3266316.73,6.1
CR0002,2026-05-04,796584,82017,6404,5619,29381,3676092.12,10.3
CR0002,2026-05-05,933905,41433,3098,1428,57109,8718878.13,4.44
CR0002,2026-05-06,1290951,148849,16011,11753,68904,13675896.81,11.53
CR0002,2026-05-07,897959,46055,3767,2960,34418,5046419.44,5.13
CR0002,2026-05-08,1019146,82641,5306,6355,91572,17826301.78,8.11
CR0002,2026-05-09,1493935,68422,3680,1599,40480,4292418.96,4.58
CR0002,2026-05-10,1312512,111920,14621,4526,38329,6756600.77,8.53
CR0002,2026-05-11,827813,35839,4317,1021,15092,1293085.18,4.33
CR0002,2026-05-12,838173,78292,9098,4318,23138,4527063.56,9.34
CR0002,2026-05-13,1286915,89206,10162,4391,50039,6062520.87,6.93
CR0002,2026-05-14,1396133,118997,10195,7131,82179,12500995.12,8.52
CR0002,2026-05-15,993978,45716,2294,2839,67263,10677965.65,4.6
CR0002,2026-05-16,1536474,71272,5831,4884,92448,3581420.91,4.64
CR0002,2026-05-17,1476094,88278,5100,3602,54282,10495659.87,5.98
CR0002,2026-05-18,1360271,122835,15099,4931,10423,1508955.36,9.03
CR0002,2026-05-19,1039882,104853,12796,2399,38899,1942651.84,10.08
CR0002,2026-05-20,1085472,118706,10104,5047,95146,11802860.19,10.94
CR0002,2026-05-21,1324339,66617,6337,4526,8498,569391.39,5.03
CR0002,2026-05-22,876359,53249,7390,1579,19269,3777638.78,6.08
CR0002,2026-05-23,1350780,160303,22333,9982,62632,8099393.16,11.87
CR0002,2026-05-24,1439875,50136,4166,3933,58661,10946333.13,3.48
CR0002,2026-05-25,1183086,105831,8438,2725,46572,5047039.76,8.95
CR0002,2026-05-26,848048,25732,1512,1786,44691,1674019.46,3.03
CR0002,2026-05-27,955689,83562,12342,4045,22208,2326732.19,8.74
CR0003,2026-02-27,238682,12853,1467,555,7567,405477.16,5.39
CR0003,2026-02-28,182717,12712,970,892,5888,855907.77,6.96
CR0003,2026-03-01,190997,17215,2252,771,8747,270956.47,9.01
CR0003,2026-03-02,181092,13949,2044,854,14675,915948.39,7.7
CR0003,2026-03-03,171183,11218,1518,247,8700,1068946.14,6.55
CR0003,2026-03-04,251621,10887,1577,511,12831,745997.27,4.33
CR0003,2026-03-05,159486,5397,312,329,5090,237286.05,3.38
CR0003,2026-03-06,207141,12175,1493,833,3521,420300.91,5.88
CR0003,2026-03-07,309943,23794,3371,493,19897,3197515.93,7.68
CR0003,2026-03-08,196383,8536,910,469,9139,356551.39,4.35
CR0003,2026-03-09,230336,23198,3172,1689,12576,1733749.75,10.07
CR0003,2026-03-10,206223,14966,1006,661,12973,1197532.2,7.26
CR0003,2026-03-11,185723,20263,2412,465,6175,537467.83,10.91
